#Frame        Nb65bp2        Trop2
     838       1.7273       3.1817
     839       1.8944       3.1454
     840       1.9432       3.1182
     841       2.0201       3.2096
     842       1.9783       3.0610
     843       1.8879       3.0337
     844       1.9069       2.6841
     845       1.8444       2.9714
     846       1.8384       2.8573
     847       1.7894       2.9425
     848       1.8429       2.9137
     849       1.8034       2.8633
     850       1.7299       2.8188
     851       1.8169       2.8570
     852       1.7939       2.8254
     853       1.6329       3.0100
     854       1.6934       2.6441
     855       1.9074       2.5953
     856       1.7668       2.5189
     857       1.8215       2.5782
     858       1.7229       2.8268
     859       1.8593       3.0564
     860       1.6861       2.8957
     861       1.6347       2.9053
     862       1.8020       3.1968
     863       1.6365       3.1977
     864       1.7935       3.0922
     865       1.6892       3.0262
     866       1.7642       3.1700
     867       1.6388       3.0822
     868       1.8171       3.3096
     869       1.7831       3.0326
     870       1.8508       2.9555
     871       1.8055       3.2222
     872       1.8973       3.0646
     873       1.8041       3.2198
     874       1.7101       2.8021
     875       1.8033       3.2000
     876       1.5788       3.1076
     877       1.6734       3.2666
     878       1.8504       2.9740
     879       1.6432       2.6599
     880       1.8862       2.9931
     881       1.9161       2.9235
     882       1.7659       2.8863
     883       1.9048       2.9034
     884       1.6450       2.8814
     885       1.6548       3.1061
     886       1.8646       3.1455
     887       1.6161       3.0980
     888       1.6225       2.6750
     889       1.5544       2.7447
     890       1.5963       2.8650
     891       1.6946       3.0573
     892       1.7141       2.9417
     893       1.6291       2.8634
     894       1.6010       3.3440
     895       1.8395       3.4270
     896       1.9524       3.0664
     897       1.8114       3.0335
     898       1.8464       3.1850
     899       1.7790       2.8818
     900       1.6540       2.9873
     901       1.7530       3.1975
     902       1.6121       3.1322
     903       1.6881       2.8102
     904       1.7989       2.8393
     905       1.8223       2.9184
     906       1.8022       2.8526
     907       1.7637       2.8501
     908       1.7655       2.8946
     909       1.7717       3.2262
     910       1.7648       3.1330
     911       1.5190       3.3228
     912       1.8266       3.5788
     913       1.7359       3.3204
     914       1.9753       3.2136
     915       1.8499       3.2980
     916       1.7784       3.1287
     917       1.7490       3.1630
     918       1.7390       3.2799
     919       1.5823       2.9990
     920       1.7385       3.2685
     921       1.6476       3.2506
     922       1.8495       3.1253
     923       1.6876       3.2013
     924       1.8056       3.3022
     925       1.8134       3.4177
     926       1.7682       3.4241
     927       1.8296       3.5226
     928       1.7748       3.5273
     929       1.8580       3.5246
     930       1.7860       3.7648
     931       1.6874       3.9333
     932       1.8503       3.4657
     933       1.7715       3.0377
     934       1.7810       3.3363
     935       1.9099       3.4413
     936       1.6734       3.1856
     937       1.8422       3.0705
     938       2.0547       2.8847
     939       1.8943       3.1006
     940       1.5892       3.1085
     941       1.8122       3.1093
     942       1.8029       2.9750
     943       1.7939       2.9167
     944       1.7926       3.1739
     945       1.7515       2.8358
     946       1.6688       2.9755
     947       1.6451       2.9521
     948       1.6800       3.0972
     949       1.7032       3.1993
     950       1.6280       3.2118
     951       1.7683       3.5587
     952       1.7618       3.2697
     953       1.5955       3.0924
     954       1.7325       3.1746
     955       1.8051       3.1494
     956       1.7580       3.1843
     957       1.7084       3.3422
     958       1.7065       3.1577
     959       1.7567       3.2739
     960       1.7897       3.2641
     961       1.7816       2.8875
     962       1.7865       2.8998
     963       1.7063       3.0037
     964       1.7162       3.1685
     965       1.7509       3.1639
     966       1.6980       2.9299
     967       1.6800       3.0621
     968       1.6309       3.4777
     969       1.5893       3.3549
     970       1.6273       3.2295
     971       1.7507       3.1049
     972       1.6289       3.3896
     973       1.4989       3.2312
     974       1.6739       3.1705
     975       1.6876       2.9170
     976       1.8027       3.2079
     977       2.0057       3.4283
     978       1.8431       3.1449
     979       1.7287       3.1144
     980       1.7390       2.9297
     981       1.6610       3.1257
     982       1.7712       2.7962
     983       1.9319       2.9227
     984       1.7501       2.7565
     985       1.7563       2.7064
     986       1.7455       2.8480
     987       1.8109       2.5358
     988       1.7601       2.9641
     989       1.7403       2.9298
     990       1.8340       2.8665
     991       1.8606       2.8491
     992       1.8471       2.9995
     993       1.8983       3.0766
     994       1.8058       3.0006
     995       1.8329       2.9764
     996       1.8406       2.9265
     997       1.7451       2.8740
     998       1.7306       3.0356
     999       1.8108       2.7959
    1000       1.8442       2.7759
    1001       1.8672       2.9138
    1002       1.7833       2.8981
    1003       1.8613       2.7825
    1004       1.7489       2.7017
    1005       1.8386       2.7073
    1006       1.7303       3.0219
    1007       1.8120       3.1096
    1008       1.8438       2.9828
    1009       1.8961       3.1654
    1010       1.7611       2.9834
    1011       1.8255       3.0682
    1012       1.8657       3.0104
    1013       1.7770       2.9586
    1014       1.8281       3.1058
    1015       1.6773       3.0596
    1016       1.7456       3.1051
    1017       1.8455       3.0707
    1018       1.8839       2.8566
    1019       1.8553       2.5108
    1020       1.8220       2.7543
    1021       1.6871       2.8340
    1022       1.7953       3.2797
    1023       1.8147       2.8614
    1024       1.8216       2.8569
    1025       1.8259       2.8124
    1026       1.7287       2.7648
    1027       1.7986       2.7832
    1028       1.7611       3.1312
    1029       1.8708       2.9396
    1030       1.7598       3.2070
    1031       1.8785       3.1502
    1032       1.7819       3.0568
    1033       1.8808       3.0483
    1034       1.8858       3.1562
    1035       1.9507       3.0789
    1036       1.7788       2.8991
    1037       1.7195       3.2063
    1038       1.8371       2.8454
    1039       1.7585       2.8729
    1040       1.6860       2.7445
    1041       1.7858       2.8393
    1042       1.9883       2.9707
    1043       1.8771       3.0890
    1044       1.9160       3.0151
    1045       1.9464       3.0393
    1046       1.8217       2.8248
    1047       1.8635       2.9627
    1048       1.8199       2.9543
    1049       1.8258       3.2634
    1050       1.7909       2.9929
    1051       2.0836       2.9775
    1052       1.9459       2.9519
    1053       1.9309       2.9960
    1054       1.7866       2.8732
    1055       1.8066       3.0601
    1056       1.7483       3.0879
    1057       1.7313       3.2253
    1058       1.7519       3.0909
    1059       1.7850       2.9440
    1060       1.7869       2.9908
    1061       1.5594       3.3813
    1062       1.8500       3.1036
    1063       1.7880       2.8082
    1064       1.7182       3.0462
